25	[3, 4, 8, 14, 0, 5, 2, 6, 13, 11, 12, 9, 7, 10, 1]	64.0	0.999386221450146	0.388878257903279	[3, 4, 8, 14, 0, 5, 2, 6, 13, 11, 12, 9, 7, 10, 1]	64.0	diterima
26	[3, 4, 8, 14, 7, 5, 2, 6, 13, 11, 12, 9, 0, 10, 1]	66.0	0.9997951604589544	0.6403586145435051	[3, 4, 8, 14, 7, 5, 2, 6, 13, 11, 12, 9, 0, 10, 1]	66.0	diterima
27	[12, 4, 8, 14, 7, 5, 2, 6, 13, 11, 3, 9, 0, 10, 1]	63.0	-	-	[12, 4, 8, 14, 7, 5, 2, 6, 13, 11, 3, 9, 0, 10, 1]	63.0	diterima
28	[12, 2, 8, 14, 7, 5, 4, 6, 13, 11, 3, 9, 0, 10, 1]	58.0	-	-	[12, 2, 8, 14, 7, 5, 4, 6, 13, 11, 3, 9, 0, 10, 1]	58.0	diterima
29	[12, 2, 10, 14, 7, 5, 4, 6, 13, 11, 3, 9, 0, 8, 1]	52.0	-	-	[12, 2, 10, 14, 7, 5, 4, 6, 13, 11, 3, 9, 0, 8, 1]	52.0	diterima
30	[12, 2, 13, 14, 7, 5, 4, 6, 10, 11, 3, 9, 0, 8, 1]	56.0	0.9995887205619177	0.6206517027202614	[12, 2, 13, 14, 7, 5, 4, 6, 10, 11, 3, 9, 0, 8, 1]	56.0	diterima
31	[12, 2, 8, 14, 7, 5, 4, 6, 10, 11, 3, 9, 0, 13, 1]	55.1	-	-	[12, 2, 8, 14, 7, 5, 4, 6, 10, 11, 3, 9, 0, 13, 1]	55.1	diterima
32	[12, 2, 1, 14, 7, 5, 4, 6, 10, 11, 3, 9, 0, 13, 8]	61.2	0.9993716108185001	0.8893084077631035	[12, 2, 1, 14, 7, 5, 4, 6, 10, 11, 3, 9, 0, 13, 8]	61.2	diterima
33	[12, 2, 1, 14, 4, 5, 7, 6, 10, 11, 3, 9, 0, 13, 8]	65.2	0.9995874845068414	0.3875600058853912	[12, 2, 1, 14, 4, 5, 7, 6, 10, 11, 3, 9, 0, 13, 8]	65.2	diterima
34	[12, 2, 1, 13, 4, 5, 7, 6, 10, 11, 3, 9, 0, 14, 8]	54.0	-	-	[12, 2, 1, 13, 4, 5, 7, 6, 10, 11, 3, 9, 0, 14, 8]	54.0	diterima
35	[12, 2, 1, 13, 4, 11, 7, 6, 10, 5, 3, 9, 0, 14, 8]	50.0	-	-	[12, 2, 1, 13, 4, 11, 7, 6, 10, 5, 3, 9, 0, 14, 8]	50.0	diterima
36	[12, 2, 1, 13, 3, 11, 7, 6, 10, 5, 4, 9, 0, 14, 8]	44.0	-	-	[12, 2, 1, 13, 3, 11, 7, 6, 10, 5, 4, 9, 0, 14, 8]	44.0	diterima
37	[12, 2, 1, 13, 6, 11, 7, 3, 10, 5, 4, 9, 0, 14, 8]	51.0	0.9992753162191438	0.8843976842532735	[12, 2, 1, 13, 6, 11, 7, 3, 10, 5, 4, 9, 0, 14, 8]	51.0	diterima
38	[12, 2, 1, 5, 6, 11, 7, 3, 10, 13, 4, 9, 0, 14, 8]	51.0	1.0	0.7023700322982801	[12, 2, 1, 5, 6, 11, 7, 3, 10, 13, 4, 9, 0, 14, 8]	51.0	diterima
39	[12, 2, 1, 5, 6, 11, 7, 3, 10, 13, 4, 8, 0, 14, 9]	48.0	-	-	[12, 2, 1, 5, 6, 11, 7, 3, 10, 13, 4, 8, 0, 14, 9]	48.0	diterima
40	[12, 2, 1, 5, 6, 11, 7, 10, 3, 13, 4, 8, 0, 14, 9]	43.0	-	-	[12, 2, 1, 5, 6, 11, 7, 10, 3, 13, 4, 8, 0, 14, 9]	43.0	diterima
41	[12, 2, 11, 5, 6, 1, 7, 10, 3, 13, 4, 8, 0, 14, 9]	46.0	0.99968811141549	0.40122545549928235	[12, 2, 11, 5, 6, 1, 7, 10, 3, 13, 4, 8, 0, 14, 9]	46.0	diterima
42	[12, 2, 11, 5, 6, 1, 7, 3, 10, 13, 4, 8, 0, 14, 9]	51.0	0.9994797195905636	0.812036005855273	[12, 2, 11, 5, 6, 1, 7, 3, 10, 13, 4, 8, 0, 14, 9]	51.0	diterima
43	[5, 2, 11, 12, 6, 1, 7, 3, 10, 13, 4, 8, 0, 14, 9]	56.0	0.9994791989249935	0.4183602906541798	[5, 2, 11, 12, 6, 1, 7, 3, 10, 13, 4, 8, 0, 14, 9]	56.0	diterima
44	[5, 2, 11, 12, 6, 10, 7, 3, 1, 13, 4, 8, 0, 14, 9]	59.0	0.9996871740219401	0.2856711620657486	[5, 2, 11, 12, 6, 10, 7, 3, 1, 13, 4, 8, 0, 14, 9]	59.0	diterima
45	[5, 2, 12, 11, 6, 10, 7, 3, 1, 13, 4, 8, 0, 14, 9]	55.0	-	-	[5, 2, 12, 11, 6, 10, 7, 3, 1, 13, 4, 8, 0, 14, 9]	55.0	diterima
46	[5, 2, 12, 11, 6, 10, 7, 13, 1, 3, 4, 8, 0, 14, 9]	57.0	0.9997910207671843	0.6785886456440925	[5, 2, 12, 11, 6, 10, 7, 13, 1, 3, 4, 8, 0, 14, 9]	57.0	diterima
47	[5, 2, 12, 11, 14, 10, 7, 13, 1, 3, 4, 8, 0, 6, 9]	50.0	-	-	[5, 2, 12, 11, 14, 10, 7, 13, 1, 3, 4, 8, 0, 6, 9]	50.0	diterima
48	[5, 2, 12, 11, 14, 10, 7, 13, 1, 3, 4, 9, 0, 6, 8]	54.0	0.9995812482969734	0.5059539600812445	[5, 2, 12, 11, 14, 10, 7, 13, 1, 3, 4, 9, 0, 6, 8]	54.0	diterima
49	[5, 2, 12, 11, 14, 6, 7, 13, 1, 3, 4, 9, 0, 10, 8]	58.0	0.9995808292139639	0.18780630642543228	[5, 2, 12, 11, 14, 6, 7, 13, 1, 3, 4, 9, 0, 10, 8]	58.0	diterima
50	[5, 2, 12, 11, 14, 6, 7, 13, 1, 3, 4, 9, 0, 10, 8]	58.0	1.0	0.18546599811305875	[5, 2, 12, 11, 14, 6, 7, 13, 1, 3, 4, 9, 0, 10, 8]	58.0	diterima
51	[0, 2, 12, 11, 14, 6, 7, 13, 1, 3, 4, 9, 5, 10, 8]	54.0	-	-	[0, 2, 12, 11, 14, 6, 7, 13, 1, 3, 4, 9, 5, 10, 8]	54.0	diterima
52	[0, 2, 12, 11, 14, 8, 7, 13, 1, 3, 4, 9, 5, 10, 6]	63.0	0.9990542798190619	0.27705817268108124	[0, 2, 12, 11, 14, 8, 7, 13, 1, 3, 4, 9, 5, 10, 6]	63.0	diterima
53	[0, 2, 12, 11, 13, 8, 7, 14, 1, 3, 4, 9, 5, 10, 6]	67.0	0.9995791486844642	0.5496953519258101	[0, 2, 12, 11, 13, 8, 7, 14, 1, 3, 4, 9, 5, 10, 6]	67.0	diterima
